AdfgStreamCode,StreamName,SurveyDate,Comments,BeginLatitude,BeginLongitude,BeginComments,EndLatitude,EndLongitude,EndComments,ExtentLatitude,ExtentLongitude,ExtentComments,DistanceMeters,SpeciesCode,CommonName,AliveCount,DeadCount,PreviouslySampledCount,TotalCount,NumberofSpecimens,NumberStrays,PercentStrays,numReadOK,numMarked,numUnMarked,SurveySamplers
101-11-11010,Hidden Inlet,8/7/13,,55.02202708,-130.3140239,,55.04992599,-130.3205274,,,,,3133.533766,450,Chum Salmon,159,0,,159,78,2,2.6,77,2,75,"Bryan Ferguson, Dale Brandenburger, Dave Magnus, Tessa Minicucci"
101-11-11010,Hidden Inlet,8/14/13,,55.03116945,-130.3152278,,55.05068151,-130.3220444,,,,,2215.448144,450,Chum Salmon,220,,,220,211,16,7.66,209,16,193,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
101-11-11010,Hidden Inlet,7/31/14,very few fish,55.02499793,-130.3167506,,55.05486086,-130.3252031,,,,,3368.099605,450,Chum Salmon,17,2,,19,6,0,0,6,0,6,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
101-11-11010,Hidden Inlet,8/6/14,"flew in with Andy & Malika. Good weather, good conditions, low chum count. ",55.02736961,-130.3151473,,,,,,,,,450,Chum Salmon,212,2,,214,4,0,0,4,0,4,"Ben Adams, andy piston, malika brunette"
101-11-11010,Hidden Inlet,8/15/14,Andy and Malika helped us sample on one of their foot surveys. Many thanks to them!,55.0275221,-130.3154324,,55.04834885,130.3178028,,,,,5781055.982,450,Chum Salmon,150,60,,210,77,7,9.09,77,7,70,"Ben Adams, andy piston, malika brunette, jarrod yelton"
101-11-11010,Hidden Inlet,8/27/14,new tablet,55.02210544,-130.3220676,,55.05021839,-130.3206014,,,,,3131.054807,450,Chum Salmon,62,140,,202,141,7,5.07,138,7,131,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
101-11-11010,Hidden Inlet,8/11/15,"SURVEY QUALITY: GOOD Lots of chums in stream at all stages of spawning. We didn't see any in the tideflat but immediately at the mouth of the river we saw chums and continued seeing fresh chums and carcasses throughout the survey. It seemed the numbers were getting thinner at the end of our survey. Steady rain all day, creek will be rising.",55.02527595,-130.3168548,,55.04422348,-130.3137573,,,,,2118.595224,450,Chum Salmon,752,231,,983,217,19,8.8,216,19,197,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-11-11010,Hidden Inlet,8/22/15,"SURVEY QUALITY: POOR Water was clear at start but very dark day and heavy rain resulted in poor visibility, therefore no live count was conducted. Some live chums were seen but it is unknown how many were throughout. Stream was rising throughout survey and water level was very high and dark for the walk out. ",55.02838591,-130.3157581,,55.03606545,-130.3150741,,,,,856.0360294,450,Chum Salmon,,268,,268,192,4,2.17,184,4,180,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-30-10600,Marten River,8/6/13,,55.18184708,-130.4864364,,55.20656619,-130.4542577,,,,,3431.120504,450,Chum Salmon,57,,,57,61,0,0,59,0,59,"Bryan Ferguson, Dale Brandenburger, Dave Magnus, Tessa Minicucci"
101-30-10600,Marten River,8/15/13,,55.19149868,-130.4638316,,55.2058003,-130.4541626,,,,,1707.06011,450,Chum Salmon,2,50,,52,50,5,10.42,48,5,43,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
101-30-10600,Marten River,8/1/14,"very few fish, none in right and middle trib",55.19556562,-130.4622673,,55.21089528,-130.4499355,,,,,1878.563721,450,Chum Salmon,43,1,,44,9,0,0,9,0,9,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
101-30-10600,Marten River,8/28/14,...,55.15749962,-130.530733,,55.20665242,-130.4544221,,,,,7319.522712,450,Chum Salmon,2,10,,12,10,1,10,10,1,9,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
101-30-10600,Marten River,8/9/15,"SURVEY QUALITY: GOOD River is wide enough that an accurate live count is very difficult since you can not see the entire channel. The count is essentially from one side of the river. We got the jetboat further up river then we ever have in the past. Slightly more water made this possible. We made it up until the stream got narrow and fast flowing with large boulders. A flight later confirmed there are not many fish above this point. Most fish were carcasses, still some fresh fish seen on redds and moving up river. ",55.18730917,-130.4649368,,55.21595748,-130.4477132,,,,,3372.620569,450,Chum Salmon,284,137,,421,173,6,3.49,172,6,166,"Neve Baker, Bryan Ferguson, Adam McDaniel"
