"","Fishery_harvest","Cons_Abundance","Cons_Density","Pink_Abundance","Pink_Density","WMA_Releases_by_Yr","Dist_nearest_H","Dist_nearest_R","mean_flow","CV_flow"
"Fishery_harvest",1,-0.053,-0.043,-0.07,-0.083,0.154,0.046,-0.075,-0.099,0.248
"Cons_Abundance",-0.053,1,0.889,0.461,0.326,-0.261,0.175,0.347,0.325,-0.405
"Cons_Density",-0.043,0.889,1,0.328,0.38,-0.093,0.072,0.192,0.135,-0.36
"Pink_Abundance",-0.07,0.461,0.328,1,0.885,-0.291,0,0.28,0.346,-0.458
"Pink_Density",-0.083,0.326,0.38,0.885,1,-0.106,-0.115,0.132,0.156,-0.412
"WMA_Releases_by_Yr",0.154,-0.261,-0.093,-0.291,-0.106,1,-0.554,-0.807,-0.456,0.18
"Dist_nearest_H",0.046,0.175,0.072,0,-0.115,-0.554,1,0.685,0.322,0.236
"Dist_nearest_R",-0.075,0.347,0.192,0.28,0.132,-0.807,0.685,1,0.515,-0.215
"mean_flow",-0.099,0.325,0.135,0.346,0.156,-0.456,0.322,0.515,1,-0.272
"CV_flow",0.248,-0.405,-0.36,-0.458,-0.412,0.18,0.236,-0.215,-0.272,1
