StreamName,Hatchery_Josephson,Total_Josephson,pHOS_Josephson,Hatchery_MyDat,Total_MyDat,pHOS_MyDat,pHOS_Diff
Hidden Inlet,14,225,0.062,14,225,0.062,0.000
Marten River,1,19,0.053,1,19,0.053,0.000
Carroll Creek,7,372,0.02,7,372,0.019,0.001
King Creek,5,201,0.025,5,201,0.025,0.000
Harding River,9,190,0.047,9,190,0.047,0.000
North Arm Creek,8,250,0.032,8,250,0.032,0.000
Saginaw Bay S Head,3,19,0.158,3,19,0.158,0.000
Petrof Bay W Head,2,376,0.005,2,376,0.005,0.000
Johnston Creek,0,24,0,0,24,0.000,0.000
East of Snug Cove,0,12,0,0,12,0.000,0.000
Chuck River ,3,89,0.034,3,89,0.034,0.000
Glen Creek,0,2,0,0,2,0.000,0.000
Swan Cove Creek,0,93,0,0,93,0.000,0.000
King Salmon River,1,288,0.002,1,288,0.003,-0.001
Prospect Creek,34,467,0.073,34,467,0.073,0.000
Admiralty Creek,12,256,0.045,12,256,0.047,-0.002
Fish Creek,1742,2550,0.708,1742,2552,0.683,0.025
Ralphs Creek,1,293,0.003,1,293,0.003,0.000
Kadashan River,1,17,0.038,1,17,0.059,-0.021
Seal Bay Head,10,355,0.031,10,355,0.028,0.003
Little Goose Creek,0,15,0,0,15,0.000,0.000
Freshwater Creek,2,115,0.2,2,115,0.017,0.183
Greens Creek,0,1,0,0,1,0.000,0.000
Chaik Bay Creek,0,52,0,0,52,0.000,0.000
Whitewater Creek,4,46,0.087,4,46,0.087,0.000
Rodman Creek,1,111,0.008,1,111,0.009,-0.001
Ushk Bay W Head,1,35,0.045,1,35,0.029,0.016
Game Creek,0,116,0,0,116,0.000,0.000
Sawmill Creek,19,124,0.152,19,124,0.153,-0.001
W Crawfish NE Arm Hd,4,433,0.009,4,433,0.009,0.000
Sister Lake SE Head,17,518,0.022,17,518,0.033,-0.011
Ford Arm Creek,5,410,0.012,5,410,0.012,0.000
